plant symbol,plant scientific name,plant common name,native states (separated by '*'),duration,growth habit,growth period,growth rate,moisture use,adapted to coarse soil,adapted to fine soil,adapted to medium soil,drought tolerance,shade tolerance,temp min (�F),foliage color,flower conspicuous,flower color,bloom period
CAGR5,Carex grayi,Gray's sedge,New Jersey*North Carolina*Massachusetts*Missouri*Kansas*West Virginia*Quebec*Minnesota*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*Maryland*New York*District of Columbia*Mississippi*Kentucky*Georgia*Ontario*Florida*Oklahoma*Arkansas*Vermont*Indiana*Iowa*Michigan*Tennessee*Wisconsin*Alabama*South Carolina*,Perennial*,Graminoid*,Spring*Summer*,Slow,High,No,Yes,Yes,Low,Tolerant,-33,Green,No,Green,Late Spring
CAHA2,Carex halliana,Hall's sedge,California*Oregon*Washington*,Perennial*,Graminoid*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Low,Intolerant,-33,Green,No,Yellow,Late Spring
CAHE7,Carex hendersonii,Henderson's sedge,California*Oregon*Washington*Idaho*British Columbia*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Medium,No,No,Yes,Low,Tolerant,-8,Green,No,Green,Late Spring
CAHY3,Carex hyalinolepis,shoreline sedge,New Jersey*North Carolina*Missouri*Texas*Kansas*Virginia*Illinois*Ohio*Pennsylvania*Nebraska*Maryland*New York*Mississippi*Kentucky*Georgia*Ontario*Florida*Oklahoma*Arkansas*Indiana*Iowa*Michigan*Tennessee*Alabama*Louisiana*South Carolina*,Perennial*,Graminoid*,Spring*Summer*,Slow,High,No,Yes,Yes,Low,Intermediate,-28,Gray-Green,No,Green,Late Spring
CAIN11,Carex interior,inland sedge,Maine*New Jersey*Northwest Territories*Yukon*New Brunswick*Nova Scotia*California*Massachusetts*South Dakota*Washington*Colorado*Missouri*Kansas*Newfoundland*Prince Edward Island*West Virginia*Alaska*Nevada*Quebec*Minnesota*Alberta*Saskatchewan*Virginia*Illinois*British Columbia*Ohio*Utah*Connecticut*Pennsylvania*Nebraska*New Mexico*Maryland*New Hampshire*New York*Ontario*Arizona*Manitoba*Arkansas*North Dakota*Wyoming*Montana*Indiana*Iowa*Michigan*Oregon*Tennessee*Vermont*Wisconsin*Labrador*Idaho*Rhode Island*,Perennial*,Graminoid*,Spring*Summer*,Slow,High,No,Yes,Yes,Low,Intermediate,-38,Green,No,Green,Mid Spring
CAIN12,Carex intumescens,greater bladder sedge,Maine*New Jersey*New Brunswick*North Carolina*Nova Scotia*Massachusetts*South Dakota*Missouri*Texas*Newfoundland*Delaware*Prince Edward Island*West Virginia*Quebec*Minnesota*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*Maryland*New Hampshire*District of Columbia*New York*Mississippi*Kentucky*Georgia*Ontario*Florida*Oklahoma*Arkansas*Manitoba*Wyoming*Vermont*Indiana*Iowa*Michigan*Tennessee*Wisconsin*Alabama*Labrador*Louisiana*Rhode Island*South Carolina*,Perennial*,Graminoid*,Spring*Summer*Fall*,Moderate,High,No,Yes,Yes,None,Tolerant,-33,Dark Green,No,Green,Late Spring
CAJO2,Carex joorii,cypress swamp sedge,North Carolina*Georgia*Kentucky*Florida*Maryland*Louisiana*South Carolina*Texas*Alabama*Oklahoma*Missouri*Tennessee*Mississippi*New Jersey*Virginia*Arkansas*Delaware*,Perennial*,Graminoid*,Spring*Summer*Fall*,Moderate,High,Yes,No,Yes,None,Tolerant,-3,Green,No,Green,Mid Summer
CAKO2,Carex kobomugi,Japanese sedge,North Carolina*Maryland*Oregon*New York*Rhode Island*Massachusetts*New Jersey*Virginia*Delaware*,Perennial*,Graminoid*,Spring*Summer*,Slow,Low,Yes,No,Yes,High,Intolerant,-18,Green,No,Brown,Early Summer
CALA16,Carex lacustris,hairy sedge,Kentucky*Quebec*Massachusetts*District of Columbia*Iowa*Saskatchewan*Connecticut*West Virginia*Manitoba*Wisconsin*Nebraska*South Dakota*Vermont*Virginia*North Dakota*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Idaho*Illinois*Missouri*Tennessee*Ohio*New Jersey*Newfoundland*Delaware*Alberta*New Brunswick*Minnesota*Nova Scotia*Kansas*Maine*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Rapid,High,No,Yes,Yes,None,Tolerant,-28,Green,No,Green,Late Spring
CALE8,Carex lenticularis,lakeshore sedge,British Columbia*Washington*Quebec*California*Massachusetts*Prince Edward Island*Labrador*Saskatchewan*Alaska*Arizona*Nevada*Yukon*Wisconsin*Nunavut*Vermont*Northwest Territories*Oregon*New Hampshire*New York*Ontario*Idaho*Wyoming*Colorado*Newfoundland*Alberta*Montana*Utah*New Brunswick*Minnesota*Nova Scotia*Manitoba*Maine*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*Summer*Fall*,Moderate,High,Yes,No,Yes,Low,Intermediate,-38,Green,No,Green,Late Spring
CALEL3,Carex lenticularis,Kellogg's sedge,Alberta*British Columbia*Alaska*Arizona*Northwest Territories*Montana*Utah*Nevada*Oregon*Washington*Yukon*California*Idaho*Wyoming*Colorado*New Mexico*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,Low,Tolerant,-33,Green,No,Green,Late Spring
CALE10,Carex leptalea,bristlystalked sedge,British Columbia*Kentucky*Washington*Quebec*California*Oklahoma*Massachusetts*District of Columbia*Iowa*Prince Edward Island*Labrador*Saskatchewan*Alaska*North Carolina*Connecticut*South Carolina*West Virginia*Yukon*Wisconsin*Nunavut*South Dakota*Vermont*Virginia*Louisiana*Northwest Territories*Georgia*Maryland*North Dakota*Oregon*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Idaho*Illinois*Wyoming*Missouri*Tennessee*Colorado*Ohio*New Jersey*Arkansas*Delaware*Alberta*Newfoundland*Florida*Montana*Utah*New Brunswick*Texas*Alabama*Minnesota*Nova Scotia*Mississippi*Manitoba*Maine*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,No,Yes,Yes,None,Tolerant,-33,Green,No,Green,Late Spring
CALE11,Carex leptonervia,nerveless woodland sedge,Kentucky*Maine*Quebec*Massachusetts*Prince Edward Island*Labrador*Saskatchewan*North Carolina*Connecticut*West Virginia*Wisconsin*Vermont*Virginia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Tennessee*Ohio*Newfoundland*New Brunswick*Minnesota*Nova Scotia*Manitoba*New Jersey*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Medium,No,Yes,Yes,Low,Tolerant,-33,Green,No,Green,Late Spring
CALI7,Carex limosa,mud sedge,British Columbia*Washington*Quebec*California*Massachusetts*Iowa*Prince Edward Island*Labrador*Saskatchewan*Alaska*Connecticut*Nevada*Yukon*Wisconsin*Nebraska*Nunavut*Vermont*North Dakota*Northwest Territories*Oregon*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Idaho*Illinois*Wyoming*Colorado*Ohio*New Jersey*Newfoundland*Delaware*Alberta*Montana*Utah*New Brunswick*Minnesota*Nova Scotia*Manitoba*Maine*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Slow,Medium,Yes,No,Yes,None,Intolerant,-33,Green,No,Green,Late Spring
CALI,Carex livida,livid sedge,British Columbia*Washington*Quebec*California*Massachusetts*Prince Edward Island*Labrador*Saskatchewan*Alaska*Connecticut*Yukon*Wisconsin*Vermont*Northwest Territories*Oregon*Indiana*New Hampshire*New York*Ontario*Idaho*Wyoming*Colorado*New Jersey*Newfoundland*Alberta*Montana*New Brunswick*Minnesota*Nova Scotia*Manitoba*Maine*Michigan*,Perennial*,Graminoid*,Summer*,Moderate,Medium,No,No,No,Low,Intolerant,-62,Green,No,Green,Early Summer
CALU4,Carex lupulina,hop sedge,Kentucky*Quebec*Oklahoma*Massachusetts*District of Columbia*Iowa*North Carolina*Connecticut*South Carolina*West Virginia*Wisconsin*Nebraska*Vermont*Virginia*Louisiana*Georgia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Missouri*Tennessee*Ohio*New Jersey*Arkansas*Delaware*Florida*New Brunswick*Texas*Alabama*Minnesota*Nova Scotia*Mississippi*Kansas*Maine*Michigan*,Perennial*,Graminoid*,Spring*,Moderate,Medium,No,Yes,Yes,Low,Intermediate,-38,Green,No,Green,Spring
CALU5,Carex lurida,shallow sedge,Kentucky*Quebec*Oklahoma*Massachusetts*District of Columbia*Iowa*Prince Edward Island*Labrador*North Carolina*Connecticut*South Carolina*West Virginia*Wisconsin*Vermont*Virginia*Louisiana*Georgia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Missouri*Tennessee*Ohio*New Jersey*Arkansas*Delaware*Newfoundland*Florida*New Brunswick*Texas*Alabama*Minnesota*Nova Scotia*Mississippi*Maine*Michigan*,Perennial*,Graminoid*,Spring*,Moderate,Medium,Yes,Yes,Yes,Low,Intermediate,-33,Green,No,Green,Spring
CALU7,Carex luzulina,woodrush sedge,British Columbia*Washington*Montana*Utah*Nevada*Oregon*California*Idaho*Wyoming*,Perennial*,Graminoid*,Spring*Summer*,Slow,High,Yes,Yes,Yes,None,Intolerant,-33,Green,No,Green,Late Spring
CALY3,Carex lyngbyei,Lyngbye's sedge,British Columbia*Washington*Alaska*Oregon*California*,Perennial*,Graminoid*,NA,NA,High,No,No,No,Low,Intolerant,-52,NA,NA,NA,NA
CAMA13,Carex mariposana,Mariposa sedge,California*Idaho*Arizona*Nevada*,Perennial*,Graminoid*,Spring*Summer*,Slow,Low,Yes,No,Yes,High,Tolerant,-13,Green,No,Yellow,Spring
CAME6,Carex mertensii,Mertens' sedge,Alberta*British Columbia*Alaska*Montana*Washington*Oregon*California*Idaho*,Perennial*,Graminoid*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Medium,Tolerant,-28,Green,No,Purple,Late Spring
CAMI7,Carex microptera,smallwing sedge,Alberta*British Columbia*Northwest Territories*Arizona*Montana*Utah*Washington*Nevada*Oregon*Yukon*California*Idaho*Wyoming*Colorado*Manitoba*South Dakota*New Mexico*Saskatchewan*,Perennial*,Graminoid*,Spring*Summer*,Slow,High,Yes,No,Yes,None,Intolerant,-33,Green,No,Green,Late Spring
CAMO11,Carex molesta,troublesome sedge,Kentucky*Quebec*California*Massachusetts*District of Columbia*Iowa*Connecticut*West Virginia*Wisconsin*Nebraska*South Dakota*Vermont*Virginia*Louisiana*North Dakota*Maryland*Pennsylvania*Indiana*New York*Ontario*Illinois*Missouri*Tennessee*Colorado*Ohio*Arkansas*Delaware*Florida*Alabama*Minnesota*Mississippi*Kansas*New Jersey*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Slow,Medium,Yes,Yes,Yes,Medium,Intolerant,-38,Green,No,Green,Late Spring
CAMU9,Carex muskingumensis,Muskingum sedge,Kentucky*Indiana*Ontario*Tennessee*Minnesota*Oklahoma*Wisconsin*Illinois*Missouri*Iowa*Ohio*Kansas*Arkansas*Michigan*,Perennial*,Graminoid*,Spring*Summer*Fall*,Slow,High,No,Yes,Yes,None,Tolerant,-33,Green,No,Green,Late Spring
CANE2,Carex nebrascensis,Nebraska sedge,Washington*California*Saskatchewan*Arizona*Nevada*Wisconsin*Nebraska*South Dakota*North Dakota*Oregon*Pennsylvania*Idaho*Illinois*Wyoming*Missouri*Colorado*Alberta*Montana*Utah*Kansas*New Mexico*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,Yes,Yes,Yes,None,Intolerant,-38,Gray-Green,No,Green,Late Spring
CANO,Carex normalis,greater straw sedge,Kentucky*Quebec*Massachusetts*District of Columbia*Iowa*North Carolina*Connecticut*South Carolina*West Virginia*Wisconsin*Vermont*Virginia*Georgia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Missouri*Tennessee*Ohio*New Jersey*Arkansas*Delaware*Alabama*Minnesota*Kansas*Maine*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Rapid,High,No,Yes,Yes,None,Tolerant,-33,Green,No,Green,Late Spring
CAOB3,Carex obnupta,slough sedge,British Columbia*Washington*California*Oregon*,Perennial*,Graminoid*,Spring*Summer*,Rapid,High,No,Yes,Yes,Low,Intermediate,-3,Green,No,Yellow,Mid Spring
CAPA14,Carex pachystachya,chamisso sedge,Alberta*British Columbia*Alaska*Montana*Utah*Washington*Nevada*Oregon*Yukon*California*Idaho*Wyoming*Colorado*Saskatchewan*,Perennial*,Graminoid*,Spring*Summer*Fall*,Moderate,Medium,No,Yes,Yes,High,Tolerant,-38,Green,No,Red,Late Spring
CAPO4,Carex polymorpha,variable sedge,Maryland*Connecticut*West Virginia*Pennsylvania*New Hampshire*New York*Rhode Island*Massachusetts*Maine*Virginia*New Jersey*Delaware*,Perennial*,Graminoid*,Spring*Summer*,Slow,Low,Yes,No,Yes,Medium,Tolerant,-33,Dark Green,No,Green,Late Spring
CAPR5,Carex praegracilis,clustered field sedge,British Columbia*Kentucky*Washington*Quebec*California*Oklahoma*Iowa*Saskatchewan*Alaska*Arizona*Nevada*Yukon*Manitoba*Wisconsin*Nebraska*South Dakota*Vermont*Virginia*North Dakota*Oregon*Pennsylvania*Indiana*New York*Ontario*Idaho*Illinois*Wyoming*Missouri*Colorado*Ohio*Alberta*Montana*Utah*Minnesota*Kansas*Maine*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,Low,Intermediate,-38,Green,No,Green,Late Spring
CAPR12,Carex prasina,drooping sedge,Kentucky*Maine*Quebec*Massachusetts*District of Columbia*North Carolina*Connecticut*South Carolina*West Virginia*Wisconsin*Vermont*Virginia*Georgia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Missouri*Tennessee*Ohio*Arkansas*Delaware*Alabama*Mississippi*New Jersey*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Medium,No,Yes,Yes,Low,Tolerant,-28,Green,No,Green,Late Spring
CAPR9,Carex projecta,necklace sedge,Kentucky*Washington*Quebec*Massachusetts*Iowa*Prince Edward Island*Labrador*Saskatchewan*North Carolina*Connecticut*South Carolina*West Virginia*Wisconsin*Vermont*Virginia*Georgia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Illinois*Tennessee*Ohio*New Jersey*Newfoundland*New Brunswick*Minnesota*Nova Scotia*Manitoba*Maine*Michigan*,Perennial*,Graminoid*,Spring*Summer*Fall*,Slow,Medium,No,Yes,Yes,None,Tolerant,-33,Green,No,Green,Late Spring
CARA4,Carex ramenskii,Ramensk's sedge,Alaska*,Perennial*,Graminoid*,NA,NA,Medium,No,No,No,Low,Intolerant,-52,NA,NA,NA,NA
CARA6,Carex raynoldsii,Raynolds' sedge,Alberta*British Columbia*Washington*Montana*Utah*Nevada*Oregon*Yukon*California*Idaho*Wyoming*Colorado*Saskatchewan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,Medium,Tolerant,-33,Green,No,Green,Late Spring
CARO5,Carex rossii,Ross' sedge,British Columbia*Washington*California*Saskatchewan*Alaska*Arizona*Nevada*Yukon*Nebraska*South Dakota*North Dakota*Northwest Territories*Oregon*Ontario*Idaho*Wyoming*Colorado*Alberta*Montana*Utah*Minnesota*Manitoba*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*Summer*Fall*,Moderate,Medium,Yes,No,Yes,High,Intermediate,-33,Green,No,Green,Mid Spring
CARO6,Carex rostrata,beaked sedge,British Columbia*Washington*Quebec*Prince Edward Island*Labrador*Saskatchewan*Alaska*Yukon*Wisconsin*Nunavut*Northwest Territories*New York*Ontario*Idaho*Illinois*Newfoundland*Alberta*Montana*New Brunswick*Minnesota*Nova Scotia*Manitoba*New Jersey*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,No,Yes,Yes,Low,Tolerant,-38,Green,No,Brown,Late Spring
CASA10,Carex saxatilis,rock sedge,British Columbia*Washington*Quebec*Labrador*Saskatchewan*Alaska*Yukon*Nunavut*Northwest Territories*Oregon*Ontario*Idaho*Wyoming*Colorado*Newfoundland*Alberta*Montana*Utah*New Brunswick*Nova Scotia*Manitoba*Maine*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,Yes,Yes,Yes,Low,Intermediate,-28,Green,No,Brown,Late Spring
CASC13,Carex scabrata,eastern rough sedge,Kentucky*Quebec*Massachusetts*Prince Edward Island*North Carolina*Connecticut*South Carolina*West Virginia*Wisconsin*Vermont*Virginia*Georgia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Missouri*Tennessee*Ohio*New Jersey*Delaware*New Brunswick*Alabama*Nova Scotia*Maine*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,No,Yes,Yes,Low,Tolerant,-33,Green,No,Green,Late Spring
CASC10,Carex scirpoidea,northern singlespike sedge,British Columbia*Washington*Quebec*California*Labrador*Saskatchewan*Alaska*Nevada*Yukon*Nunavut*Vermont*North Dakota*Northwest Territories*Oregon*New Hampshire*New York*Ontario*Idaho*Wyoming*Colorado*Newfoundland*Alberta*Montana*Utah*New Brunswick*Minnesota*Nova Scotia*Manitoba*Maine*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,Low,Tolerant,-38,Green,No,Green,Early Summer
CASC12,Carex scopulorum,mountain sedge,Alberta*British Columbia*Washington*Arizona*Montana*Utah*Nevada*Oregon*Yukon*California*Idaho*Wyoming*Colorado*New Mexico*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,Yes,Yes,Yes,Low,Intermediate,-38,Green,No,Purple,Late Spring
CASH2,Carex shortiana,Short's sedge,Kentucky*Maryland*West Virginia*Pennsylvania*Indiana*New York*Ontario*Tennessee*Oklahoma*Illinois*Missouri*District of Columbia*Iowa*Ohio*Kansas*Virginia*Arkansas*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,No,Yes,Yes,None,Intermediate,-18,Green,No,Green,Late Spring
CASI2,Carex simulata,analogue sedge,Alberta*British Columbia*Washington*Arizona*Montana*Utah*Nevada*Oregon*California*Idaho*Wyoming*Colorado*New Mexico*Saskatchewan*North Dakota*,Perennial*,Graminoid*,Spring*Summer*,Slow,High,Yes,No,Yes,Low,Intermediate,-38,Green,No,Green,Late Spring
CASP3,Carex sparganioides,bur-reed sedge,Kentucky*Quebec*Massachusetts*District of Columbia*Iowa*North Carolina*Connecticut*South Carolina*West Virginia*Wisconsin*Nebraska*South Dakota*Vermont*Virginia*Georgia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Missouri*Tennessee*Ohio*New Jersey*Arkansas*Delaware*Alabama*Minnesota*Kansas*Maine*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,No,No,Yes,Low,Tolerant,-33,Dark Green,No,Green,Late Spring
CASQ2,Carex squarrosa,squarrose sedge,Kentucky*Oklahoma*District of Columbia*Iowa*North Carolina*Connecticut*South Carolina*West Virginia*Wisconsin*Nebraska*Virginia*Louisiana*Georgia*Maryland*Pennsylvania*Indiana*New York*Ontario*Rhode Island*Illinois*Missouri*Tennessee*Ohio*Arkansas*Delaware*Alabama*Minnesota*Mississippi*Kansas*New Jersey*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Slow,Medium,No,Yes,Yes,None,Tolerant,-28,Green,No,Green,Mid Spring
CAST5,Carex stipata,awlfruit sedge,British Columbia*Kentucky*Washington*Quebec*California*Oklahoma*Massachusetts*District of Columbia*Iowa*Prince Edward Island*Labrador*Saskatchewan*Alaska*North Carolina*Arizona*Connecticut*South Carolina*West Virginia*Wisconsin*Nebraska*South Dakota*Vermont*Virginia*Louisiana*North Dakota*Georgia*Maryland*Oregon*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Idaho*Illinois*Wyoming*Missouri*Tennessee*Colorado*Ohio*New Jersey*Newfoundland*Delaware*Alberta*Florida*Montana*Utah*New Brunswick*Alabama*Minnesota*Nova Scotia*Kansas*Mississippi*Manitoba*Maine*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Slow,Medium,No,Yes,Yes,Low,Tolerant,-38,Green,No,Green,Mid Spring
CAST6,Carex straminea,eastern straw sedge,North Carolina*Kentucky*Maryland*Connecticut*West Virginia*Pennsylvania*Indiana*New York*Michigan*Rhode Island*Wisconsin*Illinois*Massachusetts*Missouri*Ohio*New Jersey*Virginia*Delaware*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,No,Yes,Yes,Low,Tolerant,-28,Green,No,Green,Late Spring
CAST8,Carex stricta,upright sedge,Kentucky*Quebec*Massachusetts*District of Columbia*Iowa*Prince Edward Island*North Carolina*Connecticut*South Carolina*West Virginia*Manitoba*Wisconsin*Nebraska*South Dakota*Vermont*Virginia*Louisiana*North Dakota*Georgia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Wyoming*Missouri*Tennessee*Ohio*New Jersey*Arkansas*Delaware*New Brunswick*Texas*Alabama*Minnesota*Nova Scotia*Mississippi*Kansas*Maine*Michigan*,Perennial*,Graminoid*,Spring*,Moderate,Medium,Yes,Yes,Yes,Low,Tolerant,-38,Green,No,Green,Spring
CASU8,Carex subspathacea,Hoppner's sedge,Alaska*Northwest Territories*Yukon*Quebec*Ontario*Manitoba*Nunavut*Labrador*Newfoundland*,Perennial*,Graminoid*,NA,NA,Medium,No,No,No,None,Intolerant,-52,NA,NA,NA,NA
CATE3,Carex tenera,quill sedge,British Columbia*Kentucky*Washington*Quebec*Oklahoma*Massachusetts*District of Columbia*Iowa*Saskatchewan*North Carolina*Connecticut*South Carolina*West Virginia*Wisconsin*Nebraska*South Dakota*Vermont*Virginia*North Dakota*Georgia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Wyoming*Missouri*Tennessee*Colorado*Ohio*New Jersey*Alberta*Montana*New Brunswick*Alabama*Minnesota*Nova Scotia*Manitoba*Maine*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Slow,Medium,No,Yes,Yes,Medium,Tolerant,-33,Green,No,Green,Mid Spring
CATO4,Carex torta,twisted sedge,Kentucky*Quebec*Oklahoma*Massachusetts*District of Columbia*North Carolina*Connecticut*South Carolina*West Virginia*Vermont*Virginia*Georgia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Missouri*Tennessee*Ohio*New Jersey*Arkansas*Delaware*New Brunswick*Alabama*Minnesota*Nova Scotia*Mississippi*Maine*,Perennial*,Graminoid*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Low,Tolerant,-33,Green,No,Green,Late Spring
CATR7,Carex tribuloides,blunt broom sedge,British Columbia*Kentucky*Quebec*Oklahoma*Massachusetts*District of Columbia*Iowa*North Carolina*Connecticut*South Carolina*West Virginia*Manitoba*Wisconsin*Nebraska*South Dakota*Vermont*Virginia*Louisiana*Georgia*Maryland*Oregon*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Missouri*Tennessee*Ohio*New Jersey*Arkansas*Delaware*Florida*New Brunswick*Texas*Alabama*Minnesota*Nova Scotia*Mississippi*Kansas*Maine*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Slow,Medium,No,Yes,Yes,Low,Tolerant,-28,Green,No,Green,Late Spring
CATR8,Carex trichocarpa,hairyfruit sedge,Quebec*Massachusetts*Iowa*North Carolina*Connecticut*West Virginia*Wisconsin*Vermont*Virginia*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Illinois*Missouri*Ohio*Delaware*Minnesota*New Jersey*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Rapid,High,No,Yes,Yes,None,Intermediate,-33,Green,No,Green,Late Spring
CATR10,Carex trisperma,threeseeded sedge,British Columbia*Quebec*Massachusetts*Prince Edward Island*Labrador*Saskatchewan*North Carolina*Connecticut*West Virginia*Wisconsin*Nunavut*Vermont*Virginia*Northwest Territories*Maryland*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Tennessee*Ohio*New Jersey*Newfoundland*Delaware*Alberta*New Brunswick*Minnesota*Nova Scotia*Manitoba*Maine*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,No,Yes,Yes,None,Tolerant,-33,Green,No,Green,Late Spring
CATY,Carex typhina,cattail sedge,Kentucky*Quebec*Oklahoma*Massachusetts*District of Columbia*Iowa*North Carolina*Connecticut*South Carolina*West Virginia*Wisconsin*Vermont*Virginia*Louisiana*Georgia*Maryland*Pennsylvania*Indiana*New York*Ontario*Illinois*Missouri*Tennessee*Ohio*New Jersey*Arkansas*Delaware*Florida*Texas*Alabama*Minnesota*Mississippi*Maine*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,No,Yes,Yes,None,Tolerant,-28,Green,No,Green,Mid Spring
CAUT,Carex utriculata,Northwest Territory sedge,British Columbia*Washington*Quebec*California*Massachusetts*District of Columbia*Iowa*Prince Edward Island*Labrador*Saskatchewan*Alaska*North Carolina*Connecticut*West Virginia*Yukon*Wisconsin*Nebraska*Nunavut*South Dakota*Vermont*Virginia*North Dakota*Northwest Territories*Maryland*Oregon*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Illinois*Wyoming*Tennessee*Colorado*Ohio*New Jersey*Newfoundland*Delaware*Alberta*Montana*Utah*New Brunswick*Minnesota*Nova Scotia*Manitoba*Maine*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*Summer*Fall*,Moderate,High,No,Yes,Yes,Low,Intolerant,-43,Green,No,Green,Mid Summer
CAVE6,Carex vesicaria,blister sedge,Kentucky*Washington*Massachusetts*Connecticut*West Virginia*Wisconsin*Vermont*North Dakota*Maryland*Oregon*Pennsylvania*Indiana*New Hampshire*New York*Rhode Island*Idaho*Wyoming*Missouri*Ohio*New Jersey*Delaware*Montana*Utah*Minnesota*Maine*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,Yes,Yes,Yes,Low,Intermediate,-38,Green,No,Green,Late Spring
CAVI5,Carex viridula,little green sedge,British Columbia*Washington*Quebec*California*Massachusetts*District of Columbia*Prince Edward Island*Labrador*Saskatchewan*Alaska*Connecticut*Nevada*Yukon*Wisconsin*South Dakota*Vermont*North Dakota*Northwest Territories*Maryland*Oregon*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Idaho*Illinois*Wyoming*Colorado*Ohio*New Jersey*Newfoundland*Alberta*Montana*Utah*New Brunswick*Minnesota*Nova Scotia*Manitoba*Maine*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,No,Yes,Yes,Low,Intolerant,-38,Green,No,Green,Early Summer
CAVU2,Carex vulpinoidea,fox sedge,British Columbia*Kentucky*Washington*Quebec*California*Oklahoma*Massachusetts*District of Columbia*Iowa*Prince Edward Island*Labrador*Saskatchewan*North Carolina*Arizona*Connecticut*South Carolina*Nevada*West Virginia*Wisconsin*Nebraska*South Dakota*Vermont*Virginia*Louisiana*North Dakota*Georgia*Maryland*Oregon*Pennsylvania*Indiana*New Hampshire*New York*Ontario*Rhode Island*Idaho*Illinois*Wyoming*Missouri*Tennessee*Colorado*Ohio*New Jersey*Arkansas*Delaware*Alberta*Newfoundland*Florida*Montana*New Brunswick*Texas*Alabama*Minnesota*Nova Scotia*Kansas*Mississippi*Manitoba*Maine*New Mexico*Michigan*,Perennial*,Graminoid*,Spring*,Moderate,Medium,No,Yes,Yes,Low,Intermediate,-38,Green,No,Green,Spring
